Ch01_fa67753,DO favor clarity over brevity when naming identifiers.
Ch01_674fe1e,DO NOT use abbreviations or contractions within identifier names.
Ch01_024aa0c,"DO NOT use any acronyms unless they are widely accepted, and even then use them consistently."
Ch01_18f8f3d,"DO capitalize both characters in two-character acronyms, except for the first word of a camelCased identifier."
Ch01_4724506,"DO capitalize only the first character in acronyms with three or more characters, except for the first word of a camelCased identifier."
Ch01_3dc2561,DO NOT capitalize any of the characters in acronyms at the beginning of a camelCased identifier.
Ch01_0f60ed8,"DO NOT use Hungarian notation (that is, do not encode the type of a variable in its name)."
Ch01_bc3eba9,DO name classes with nouns or noun phrases.
Ch01_bca741e,DO use PascalCasing for all class names.
Ch01_84e650d,DO use camelCasing for local variable names.
Ch01_8d54a4a,DO NOT use comments unless they describe something that is not obvious to someone other than the developer who wrote the code.
Ch01_aaa5d64,DO favor writing clearer code over entering comments to clarify a complicated algorithm.
Ch02_d77deaa,"DO use the C# keyword rather than the BCL name when specifying a data type (e.g., string rather than String)."
Ch02_2153e4b,DO favor consistency rather than variety within your code.
Ch02_0733544,"DO use uppercase literal suffixes (e.g., 1.618033988749895M)."
Ch02_fe45082,DO rely on System.WriteLine() and System.Environment.NewLine rather than \n to accommodate Windows-specific operating system idiosyncrasies with the same code that runs on Linux and iOS.
Ch03_8eb9d3b,AVOID using implicitly typed local variables unless the data type of the assigned value is obvious.
Ch03_2e95ca6,DO use camelCasing for variable declarations using tuple syntax. 
Ch03_60bedde,CONSIDER using PascalCasing for all tuple item names.
Ch03_a4c15ba,CONSIDER checking for null before accessing an array rather than assuming there is an array instance.
Ch03_f89b8c6,CONSIDER checking the array length before indexing into an array rather than assuming the length.
Ch03_465c4a9,CONSIDER using the index from end operator (^) rather than Length - 1 with C# 8.0 or higher.
Ch04_1931647,"DO use parentheses to make code more readable, particularly if the operator precedence is not clear to the casual reader."
Ch04_eb56132,DO favor composite formatting over use of the addition operator for concatenating strings when localization is a possibility.
Ch04_a2acbe5,AVOID binary floating-point types when exact decimal arithmetic is required; use the decimal floating-point type instead.
Ch04_fb61e76,"AVOID using equality conditionals with binary floating-point types. Either subtract the two values and see if their difference is less than a tolerance, or  use the decimal type."
Ch04_6c13edc,AVOID confusing usage of the increment and decrement operators.
Ch04_5cd786a,"DO be cautious when porting code between C, C++, and C# that uses increment and decrement operators; C and C++ implementations need not follow the same rules as C#."
Ch04_80e4248,"DO NOT use a constant for any value that can possibly change over time. The value of pi and the number of protons in an atom of gold are constants; the price of gold, the name of your company, and the version number of your program can change."
Ch04_448befa,"AVOID omitting braces, except for the simplest of single-line if statements."
Ch04_9d2f0b0,CONSIDER using an if-else statement instead of an overly complicated conditional expression.
Ch04_288d5d4,CONSIDER refactoring the method to make the control flow easier to understand if you find yourself writing for loops with complex conditionals and multiple loop variables.
Ch04_df99fc7,DO use the for loop when the number of loop iterations is known in advance and the “counter” that gives the number of iterations executed is needed in the loop.
Ch04_5d47a01,DO use the while loop when the number of loop iterations is not known in advance and a counter is not needed.
Ch04_db9a418,"DO NOT use continue as the jump statement that exits a switch section. This is legal when the switch is inside a loop, but it is easy to become confused about the meaning of break in a later switch section."
Ch04_60c970b,AVOID using goto.
Ch05_8bc40bb,DO give methods names that are verbs or verb phrases.
Ch05_252e2b8,DO use PascalCasing for namespace names.
Ch05_a1b9f98,CONSIDER organizing the directory hierarchy for source code files to match the namespace hierarchy.
Ch05_eda9d9d,DO use camelCasing for parameter names.
Ch05_e6a28dd,DO use parameter arrays when a method can handle any number—including zero—of additional arguments.
Ch05_9d8e357,DO provide good defaults for all parameters where possible.
Ch05_15c4fc4,DO provide simple method overloads that have a small number of required parameters.
Ch05_2f3be3e,CONSIDER organizing overloads from the simplest to the most complex.
Ch05_058d8b7,"DO treat parameter names as part of the API, and avoid changing the names if version compatibility between APIs is important."
Ch05_d24d3d8,AVOID explicitly throwing exceptions from finally blocks. (Implicitly thrown exceptions resulting from method calls are acceptable.)
Ch05_17c64fa,DO favor try/finally and avoid using try/catch for cleanup code.
Ch05_6a584e4,"DO throw exceptions that describe which exceptional circumstance occurred, and if possible, how to prevent it."
Ch05_23c1a36,AVOID general catch blocks and replace them with a catch of System.Exception.
Ch05_70d749f,AVOID catching exceptions for which the appropriate action is unknown. It is better to let an exception go unhandled than to handle it incorrectly.
Ch05_2c3af94,"AVOID catching and logging an exception before rethrowing it. Instead, allow the exception to escape until it can be handled appropriately."
Ch05_61b3882,DO prefer using an empty throw when catching and rethrowing an exception so as to preserve the call stack.
Ch05_b049d9c,DO report execution failures by throwing exceptions rather than returning error codes.
Ch05_7ff8661,DO NOT have public members that return exceptions as return values or an out parameter. Throw exceptions to indicate errors; do not use them as return values to indicate errors.
Ch05_18c798c,"DO NOT use exceptions for handling normal, expected conditions; use them for exceptional, unexpected conditions."
Ch06_d10adca,DO NOT place more than one class in a single source file.
Ch06_0ed5276,DO name the source file with the name of the public type it contains.
Ch06_e69b9e0,DO use properties for simple access to simple data with simple computations.
Ch06_eba49e4,AVOID throwing exceptions from property getters.
Ch06_9397f65,DO preserve the original property value if the property throws an exception.
Ch06_055accc,DO favor automatically implemented properties over properties with simple backing fields when no additional logic is required.
Ch06_7cab06e,"CONSIDER using the same casing on a property’s backing field as that used in the property, distinguishing the backing field with an “_” prefix. Do not, however, use two underscores; identifiers beginning with two underscores are reserved for the use of t"
Ch06_788a58b,"DO name properties using a noun, noun phrase, or adjective."
Ch06_5973d26,CONSIDER giving a property the same name as its type.
Ch06_55e85dc,AVOID naming fields with camelCase.
Ch06_914113d,"DO favor prefixing Boolean properties with “Is,” “Can,” or “Has,” when that practice adds value."
Ch06_767d331,DO declare all instance fields as private (and expose them via a property).
Ch06_cae474c,DO name properties with PascalCase.
Ch06_c3b60fb,DO favor automatically implemented properties over fields.
Ch06_6ac1f1f,DO favor automatically implemented properties over using fully expanded ones if there is no additional implementation logic.
Ch06_cc0570a,"AVOID accessing the backing field of a property outside the property, even from within the containing class."
Ch06_9154422,"DO use nameof(value) (which resolves to “value”) for the paramName argument when creating ArgumentException() or ArgumentNullException() type exceptions (value"" is the implicit name of the parameter on property setters)."""
Ch06_a84c12f,DO create read-only properties if the property value should not be changed.
Ch06_d3c9589,DO create read-only automatically implemented properties in C# 6.0 (or later) rather than read-only properties with a backing field if the property value should not be changed.
Ch06_a95c434,DO apply appropriate accessibility modifiers on implementations of getters and setters on all properties.
Ch06_91ed3bb,DO NOT provide set-only properties or properties with the setter having broader accessibility than the getter.
Ch06_a0f225d,"DO provide sensible defaults for all properties, ensuring that defaults do not result in a security hole or significantly inefficient code."
Ch06_d60e8e4,"DO allow properties to be set in any order, even if this results in a temporarily invalid object state."
Ch06_f889ac9,DO use the same name for constructor parameters (camelCase) and properties (PascalCase) if the constructor parameters are used to simply set the property.
Ch06_8f85e0d,DO provide constructor optional parameters and/or convenience constructor overloads that initialize properties with good defaults.
Ch06_c874374,"DO allow properties to be set in any order, even if this results in a temporarily invalid object state."
Ch06_000b368,"DO implement non-nullable read/write reference fully implemented properties with a nullable backing field, a null-forgiveness operator when returning the field from the getter, and non-null validation in the property setter."
Ch06_255b1d8,DO assign non-nullable reference-type properties before instantiation completes.
Ch06_ee0093e,DO implement non-nullable reference-type automatically implemented properties as read-only.
Ch06_dd75475,DO use a nullable check for all reference-type properties and fields that are not initialized before instantiation completes.
Ch06_7fc9a01,CONSIDER initializing static fields inline rather than explicitly using static constructors or declaration assigned values.
Ch06_b296d64,"AVOID frivolously defining extension methods, especially on types you don’t own."
Ch06_c851981,DO use constant fields for values that will never change.
Ch06_af00ea1,AVOID constant fields for values that will change over time.
Ch06_c249c9e,DO favor read-only automatically implemented properties in C# 6.0 (or later) over read-only fields.
Ch06_d0b801d,DO use public static readonly modified fields for predefined object instances prior to C# 6.0.
Ch06_bd3abf6,AVOID changing a public readonly modified field in pre-C# 6.0 to a read-only automatically implemented property in C# 6.0 (or later) if version API compatibility is required.
Ch06_833d6cb,AVOID publicly exposed nested types. The only exception is if the declaration of such a type is unlikely or pertains to an advanced customization scenario.
Ch08_91047cd,DO use PascalCasing and an “I” prefix for interface names.
Ch08_fa99bb5,DO NOT add abstract members to an interface that has already been published.
Ch08_3c928d3,CONSIDER using extension methods or an additional interface in place of default interface members when adding methods to a published interface.
Ch08_8ba81e7,DO use extension methods when the interface providing the polymorphic behavior is not under your control.
Ch08_b8414b8,DO use an additional interface when properties are necessary for extending polymorphic behavior for framework support prior to .NET Core 3.0.
Ch08_4fa7bc3,CONSIDER interfaces over abstract classes for polymorphic behavior starting with in C# 8.0/.NET Core 3.0 and abstract classes prior to C# 8.0.
Ch08_a809cac,CONSIDER defining an interface if you need to support its functionality on types that already inherit from some other type.
Ch08_f2bfb39,AVOID using “marker” interfaces with no members; use attributes instead.
Ch09_907e356,AVOID creating value types that consume more than 16 bytes of memory.
Ch09_7ffcf7c,DO make value types immutable.
Ch09_a0c5fb5,DO ensure that the default value of a struct is valid; encapsulation cannot prevent obtaining the default “all zero” value of a struct.
Ch09_f8ff9c5,"DO override the equality operators (Equals(), ==, and !=) and GetHashCode() on value types if equality is meaningful. (Also consider implementing the IEquatable<T> interface.)"
Ch09_7926e34,AVOID mutable value types.
Ch09_39959f7,CONSIDER using the default 32-bit integer type as the underlying type of an enum. Use a smaller type only if you must do so for interoperability; use a larger type only if you are creating a flags enum with more than 32 flags.
